"outcome.type","n.cluster","mean.size","coef.var","ICC","ICC2","model","true.model","method","ddf","type.I.error"
"binary",20,50,0.75,"0.1",0.0609688181769386,1,"B","LRT","BW1",0.0458
"binary",20,50,0.75,"0.1",0.0623742459264603,1,"D","LRT","BW1",0.0542
"count",20,50,0.75,"0.1",0.0335831395552658,1,"B","LRT","BW1",0.045
"count",20,50,0.75,"0.1",0.0277094083480503,1,"D","LRT","BW1",0.0566
"binary",20,50,0.75,"0.2",0.123054753305988,1,"B","LRT","BW1",0.0514
"binary",20,50,0.75,"0.2",0.125484539471574,1,"D","LRT","BW1",0.05
"count",20,50,0.75,"0.2",0.0653627401176548,1,"B","LRT","BW1",0.0486
"count",20,50,0.75,"0.2",0.0546819004743531,1,"D","LRT","BW1",0.063
"binary",20,50,1.5,"0.001",0.00289095466243153,1,"B","LRT","BW1",0.0278
"binary",20,50,1.5,"0.001",0.00325853780164903,1,"D","LRT","BW1",0.028
"count",20,50,1.5,"0.001",0.00683419995589697,1,"B","LRT","BW1",0.028
"count",20,50,1.5,"0.001",0.0101612682162174,1,"D","LRT","BW1",0.029
"binary",20,50,1.5,"0.01",0.0076625046619569,1,"B","LRT","BW1",0.0454
"binary",20,50,1.5,"0.01",0.00796472049236954,1,"D","LRT","BW1",0.0486
"count",20,50,1.5,"0.01",0.0093611937058291,1,"B","LRT","BW1",0.0574
"count",20,50,1.5,"0.01",0.0130663256683597,1,"D","LRT","BW1",0.0546
"binary",20,50,1.5,"0.05",0.031370381715074,1,"B","LRT","BW1",0.0608
"binary",20,50,1.5,"0.05",0.0310876123034836,1,"D","LRT","BW1",0.0616
"count",20,50,1.5,"0.05",0.0222575735627618,1,"B","LRT","BW1",0.055
"count",20,50,1.5,"0.05",0.0224157934408361,1,"D","LRT","BW1",0.0708
"binary",20,50,1.5,"0.1",0.0615174282551184,1,"B","LRT","BW1",0.0538
"binary",20,50,1.5,"0.1",0.0623945813101728,1,"D","LRT","BW1",0.0642
"count",20,50,1.5,"0.1",0.0385232546129944,1,"B","LRT","BW1",0.053
"count",20,50,1.5,"0.1",0.0356660410049276,1,"D","LRT","BW1",0.0634
"binary",20,50,1.5,"0.2",0.123206632265192,1,"B","LRT","BW1",0.0484
"binary",20,50,1.5,"0.2",0.124450022177621,1,"D","LRT","BW1",0.0552
"count",20,50,1.5,"0.2",0.0734435720284137,1,"B","LRT","BW1",0.046
"count",20,50,1.5,"0.2",0.0648815877143273,1,"D","LRT","BW1",0.0524
"binary",20,100,0,"0.001",0.00174820235429435,1,"B","LRT","BW1",0.0286
"binary",20,100,0,"0.001",0.00177969871574659,1,"D","LRT","BW1",0.0292
"count",20,100,0,"0.001",0.00147161479043543,1,"B","LRT","BW1",0.03
"count",20,100,0,"0.001",0.00162053986071392,1,"D","LRT","BW1",0.0316
"binary",20,100,0,"0.01",0.00642151858707754,1,"B","LRT","BW1",0.0424
"binary",20,100,0,"0.01",0.00644295628054491,1,"D","LRT","BW1",0.0452
"count",20,100,0,"0.01",0.00358914820444707,1,"B","LRT","BW1",0.0458
"count",20,100,0,"0.01",0.003147222361352,1,"D","LRT","BW1",0.0516
"binary",20,100,0,"0.05",0.031037363866421,1,"B","LRT","BW1",0.0474
"binary",20,100,0,"0.05",0.031172274058489,1,"D","LRT","BW1",0.0468
"count",20,100,0,"0.05",0.015480619142994,1,"B","LRT","BW1",0.0468
"count",20,100,0,"0.05",0.0123849462169555,1,"D","LRT","BW1",0.0568
"binary",20,100,0,"0.1",0.0617885631873697,1,"B","LRT","BW1",0.0484
"binary",20,100,0,"0.1",0.0626725009206945,1,"D","LRT","BW1",0.048
"count",20,100,0,"0.1",0.0307474923703163,1,"B","LRT","BW1",0.0416
"count",20,100,0,"0.1",0.0249681068458786,1,"D","LRT","BW1",0.0526
"binary",20,100,0,"0.2",0.124679855798621,1,"B","LRT","BW1",0.0464
"binary",20,100,0,"0.2",0.125062170218593,1,"D","LRT","BW1",0.0478
"count",20,100,0,"0.2",0.0619372052091177,1,"B","LRT","BW1",0.0436
"count",20,100,0,"0.2",0.0509017284166293,1,"D","LRT","BW1",0.0476
"binary",20,100,0.75,"0.001",0.00166188781131302,1,"B","LRT","BW1",0.0288
"binary",20,100,0.75,"0.001",0.00175061292046882,1,"D","LRT","BW1",0.03
"count",20,100,0.75,"0.001",0.00162768978516727,1,"B","LRT","BW1",0.0294
"count",20,100,0.75,"0.001",0.00207760219090623,1,"D","LRT","BW1",0.0322
"binary",20,100,0.75,"0.01",0.00655994164797823,1,"B","LRT","BW1",0.0484
"binary",20,100,0.75,"0.01",0.00653218528316026,1,"D","LRT","BW1",0.0438
"count",20,100,0.75,"0.01",0.00385455873728421,1,"B","LRT","BW1",0.0472
"count",20,100,0.75,"0.01",0.00368840985439068,1,"D","LRT","BW1",0.0552
"binary",20,100,0.75,"0.05",0.0312410135474768,1,"B","LRT","BW1",0.0444
"binary",20,100,0.75,"0.05",0.0313829251412851,1,"D","LRT","BW1",0.0546
"count",20,100,0.75,"0.05",0.0160913602955436,1,"B","LRT","BW1",0.049
"count",20,100,0.75,"0.05",0.0134396045829501,1,"D","LRT","BW1",0.0526
"binary",20,100,0.75,"0.1",0.0620727928092743,1,"B","LRT","BW1",0.048
"binary",20,100,0.75,"0.1",0.06194564058204,1,"D","LRT","BW1",0.06
"count",20,100,0.75,"0.1",0.0317710884557614,1,"B","LRT","BW1",0.049
"count",20,100,0.75,"0.1",0.0256921554559631,1,"D","LRT","BW1",0.0516
"binary",20,100,0.75,"0.2",0.123485079194501,1,"B","LRT","BW1",0.0492
"binary",20,100,0.75,"0.2",0.123838643695194,1,"D","LRT","BW1",0.0568
"count",20,100,0.75,"0.2",0.0631170052498808,1,"B","LRT","BW1",0.0488
"count",20,100,0.75,"0.2",0.05307615037322,1,"D","LRT","BW1",0.0514
"binary",20,100,1.5,"0.001",0.00178339161013326,1,"B","LRT","BW1",0.0312
"binary",20,100,1.5,"0.001",0.00197777985617302,1,"D","LRT","BW1",0.0342
"count",20,100,1.5,"0.001",0.00433415431171466,1,"B","LRT","BW1",0.0268
"count",20,100,1.5,"0.001",0.00658065302995626,1,"D","LRT","BW1",0.0358
"binary",20,100,1.5,"0.01",0.00661874988293238,1,"B","LRT","BW1",0.058
"binary",20,100,1.5,"0.01",0.00684342383051167,1,"D","LRT","BW1",0.0658
"count",20,100,1.5,"0.01",0.0064270322723718,1,"B","LRT","BW1",0.0616
"count",20,100,1.5,"0.01",0.00853526075982473,1,"D","LRT","BW1",0.07
"binary",20,100,1.5,"0.05",0.0309938445692882,1,"B","LRT","BW1",0.0542
"binary",20,100,1.5,"0.05",0.0312663890973906,1,"D","LRT","BW1",0.0706
"count",20,100,1.5,"0.05",0.0187775756415513,1,"B","LRT","BW1",0.0584
"count",20,100,1.5,"0.05",0.0193445559938387,1,"D","LRT","BW1",0.0598
"binary",20,100,1.5,"0.1",0.061971023598139,1,"B","LRT","BW1",0.0496
"binary",20,100,1.5,"0.1",0.0625938751746794,1,"D","LRT","BW1",0.0656
"count",20,100,1.5,"0.1",0.0357707560327553,1,"B","LRT","BW1",0.0526
"count",20,100,1.5,"0.1",0.0333689882423663,1,"D","LRT","BW1",0.0598
"binary",20,100,1.5,"0.2",0.123743213651588,1,"B","LRT","BW1",0.0518
"binary",20,100,1.5,"0.2",0.124178537620444,1,"D","LRT","BW1",0.0616
"count",20,100,1.5,"0.2",0.0708584932862274,1,"B","LRT","BW1",0.0502
"count",20,100,1.5,"0.2",0.0617982392860609,1,"D","LRT","BW1",0.0568
"binary",10,50,0,"0.001",0.00411949946397478,1,"B","LRT","containment",0.0424
"binary",10,50,0,"0.001",0.00452802321856167,1,"D","LRT","containment",0.0416
"count",10,50,0,"0.001",0.00393592975288138,1,"B","LRT","containment",0.0392
"count",10,50,0,"0.001",0.00416621314026742,1,"D","LRT","containment",0.0508
"binary",10,50,0,"0.01",0.00867480515927905,1,"B","LRT","containment",0.0512
"binary",10,50,0,"0.01",0.00881725072520158,1,"D","LRT","containment",0.0682
"count",10,50,0,"0.01",0.00611937625430008,1,"B","LRT","containment",0.0648
"count",10,50,0,"0.01",0.00591455907045102,1,"D","LRT","containment",0.0652
"binary",10,50,0,"0.05",0.0301302588361231,1,"B","LRT","containment",0.0832
"binary",10,50,0,"0.05",0.0311917165127615,1,"D","LRT","containment",0.0954
"count",10,50,0,"0.05",0.0168439329995944,1,"B","LRT","containment",0.0846
"count",10,50,0,"0.05",0.0141946227268575,1,"D","LRT","containment",0.1056
"binary",10,50,0,"0.1",0.0615673770923516,1,"B","LRT","containment",0.0874
"binary",10,50,0,"0.1",0.0614515903012237,1,"D","LRT","containment",0.1164
"count",10,50,0,"0.1",0.0314064782680776,1,"B","LRT","containment",0.0872
"count",10,50,0,"0.1",0.0270597949749684,1,"D","LRT","containment",0.1184
"binary",10,50,0,"0.2",0.12177969749823,1,"B","LRT","containment",0.0946
"binary",10,50,0,"0.2",0.122636263391286,1,"D","LRT","containment",0.1136
"count",10,50,0,"0.2",0.062188050311496,1,"B","LRT","containment",0.088
"count",10,50,0,"0.2",0.0511958090431419,1,"D","LRT","containment",0.115
"binary",10,50,0.75,"0.001",0.00446930710912612,1,"B","LRT","containment",0.0442
"binary",10,50,0.75,"0.001",0.00541228135921152,1,"D","LRT","containment",0.0432
"count",10,50,0.75,"0.001",0.00550793177571203,1,"B","LRT","containment",0.0358
"count",10,50,0.75,"0.001",0.00667640141796894,1,"D","LRT","containment",0.0484
"binary",10,50,0.75,"0.01",0.00900662086242912,1,"B","LRT","containment",0.0566
"binary",10,50,0.75,"0.01",0.00939851520886186,1,"D","LRT","containment",0.0616
"count",10,50,0.75,"0.01",0.00776284939130232,1,"B","LRT","containment",0.0614
"count",10,50,0.75,"0.01",0.0087165104098662,1,"D","LRT","containment",0.08
"binary",10,50,0.75,"0.05",0.0309903335813175,1,"B","LRT","containment",0.094
"binary",10,50,0.75,"0.05",0.0319096020377554,1,"D","LRT","containment",0.1106
"count",10,50,0.75,"0.05",0.0191187691831615,1,"B","LRT","containment",0.092
"count",10,50,0.75,"0.05",0.0169983118236743,1,"D","LRT","containment",0.1152
"binary",10,50,0.75,"0.1",0.0615667103540197,1,"B","LRT","containment",0.0934
"binary",10,50,0.75,"0.1",0.0638699682390718,1,"D","LRT","containment",0.1206
"count",10,50,0.75,"0.1",0.0343938597571105,1,"B","LRT","containment",0.0902
"count",10,50,0.75,"0.1",0.0302698302961826,1,"D","LRT","containment",0.1226
"binary",10,50,0.75,"0.2",0.123352434405897,1,"B","LRT","containment",0.0888
"binary",10,50,0.75,"0.2",0.12417583576854,1,"D","LRT","containment",0.1134
"count",10,50,0.75,"0.2",0.066514397520405,1,"B","LRT","containment",0.0872
"count",10,50,0.75,"0.2",0.0555861175672281,1,"D","LRT","containment",0.119
"binary",10,50,1.5,"0.001",0.00624863008071972,1,"B","LRT","containment",0.0456
"binary",10,50,1.5,"0.001",0.00824489648340498,1,"D","LRT","containment",0.049
"count",10,50,1.5,"0.001",0.0113617242763434,1,"B","LRT","containment",0.0414
"count",10,50,1.5,"0.001",0.0168332269701492,1,"D","LRT","containment",0.0444
"binary",10,50,1.5,"0.01",0.0109885333162633,1,"B","LRT","containment",0.0724
"binary",10,50,1.5,"0.01",0.0120921944128048,1,"D","LRT","containment",0.0764
"count",10,50,1.5,"0.01",0.0135503316180757,1,"B","LRT","containment",0.071
"count",10,50,1.5,"0.01",0.0204434184020878,1,"D","LRT","containment",0.0798
"binary",10,50,1.5,"0.05",0.0322321294565187,1,"B","LRT","containment",0.1072
"binary",10,50,1.5,"0.05",0.0341919579793778,1,"D","LRT","containment",0.1338
"count",10,50,1.5,"0.05",0.026376084074767,1,"B","LRT","containment",0.1082
"count",10,50,1.5,"0.05",0.030119707742815,1,"D","LRT","containment",0.1378
"binary",10,50,1.5,"0.1",0.0628531272047849,1,"B","LRT","containment",0.1118
"binary",10,50,1.5,"0.1",0.0624620620960744,1,"D","LRT","containment",0.14
"count",10,50,1.5,"0.1",0.0403680467630873,1,"B","LRT","containment",0.1184
"count",10,50,1.5,"0.1",0.0426625074350172,1,"D","LRT","containment",0.148
"binary",10,50,1.5,"0.2",0.12088459696206,1,"B","LRT","containment",0.1068
"binary",10,50,1.5,"0.2",0.122702468313869,1,"D","LRT","containment",0.134
"count",10,50,1.5,"0.2",0.0749073547002784,1,"B","LRT","containment",0.1066
"count",10,50,1.5,"0.2",0.0692119478522687,1,"D","LRT","containment",0.143
"binary",10,100,0,"0.001",0.00233155508980384,1,"B","LRT","containment",0.0426
"binary",10,100,0,"0.001",0.00254394185078269,1,"D","LRT","containment",0.0434
"count",10,100,0,"0.001",0.00212304139710857,1,"B","LRT","containment",0.0454
"count",10,100,0,"0.001",0.00218737767123781,1,"D","LRT","containment",0.0426
"binary",10,100,0,"0.01",0.00693437186012852,1,"B","LRT","containment",0.0644
"binary",10,100,0,"0.01",0.00711431155728522,1,"D","LRT","containment",0.0806
"count",10,100,0,"0.01",0.00419991382721597,1,"B","LRT","containment",0.066
"count",10,100,0,"0.01",0.00389694871869419,1,"D","LRT","containment",0.0838
"binary",10,100,0,"0.05",0.0308963332391612,1,"B","LRT","containment",0.0928
"binary",10,100,0,"0.05",0.0311349695011252,1,"D","LRT","containment",0.1122
"count",10,100,0,"0.05",0.0155795330366775,1,"B","LRT","containment",0.0834
"count",10,100,0,"0.05",0.0128185340391167,1,"D","LRT","containment",0.1052
"binary",10,100,0,"0.1",0.0619438846779286,1,"B","LRT","containment",0.0898
"binary",10,100,0,"0.1",0.0616564372078175,1,"D","LRT","containment",0.11
"count",10,100,0,"0.1",0.0308245926572142,1,"B","LRT","containment",0.0852
"count",10,100,0,"0.1",0.0251695731456641,1,"D","LRT","containment",0.1072
"binary",10,100,0,"0.2",0.121820984538001,1,"B","LRT","containment",0.0882
"binary",10,100,0,"0.2",0.122564126748239,1,"D","LRT","containment",0.116
"count",10,100,0,"0.2",0.0620941670622559,1,"B","LRT","containment",0.089
"count",10,100,0,"0.2",0.04952870688156,1,"D","LRT","containment",0.1156
"binary",10,100,0.75,"0.001",0.00259512540618092,1,"B","LRT","containment",0.0496
"binary",10,100,0.75,"0.001",0.00292578998746266,1,"D","LRT","containment",0.0474
"count",10,100,0.75,"0.001",0.00279934858288995,1,"B","LRT","containment",0.045
"count",10,100,0.75,"0.001",0.00356422216844901,1,"D","LRT","containment",0.05
"binary",10,100,0.75,"0.01",0.00706771799157086,1,"B","LRT","containment",0.0746
"binary",10,100,0.75,"0.01",0.00753246689851776,1,"D","LRT","containment",0.0834
"count",10,100,0.75,"0.01",0.00487862033719871,1,"B","LRT","containment",0.0768
